timestamp,ip_address,login_success,attempts_from_ip,failed_attempts,login_duration_seconds,request_size_bytes,requests_per_minute,attack_score,is_credential_stuffing
2025-08-13 12:45:27,47.38.148.235,1,2,1,4.213630333438933,991,1,0.36420556687168,0
2025-08-04 17:43:23,158.36.203.7,6,6,0,5.3262952135545145,957,1,0.15290407707422343,0
2025-08-17 19:15:26,10.54.223.19,0,1,1,8.403438769334775,286,3,0.572004848215624,1
2025-08-03 05:17:22,142.111.240.238,0,1,1,5.0937606258766355,1259,4,0.5205767141630215,0
2025-09-21 05:54:28,113.88.251.211,1,1,0,6.9789250661365445,609,5,0.21997643210081574,0
2025-08-29 20:49:27,125.37.144.166,0,2,2,5.9399539357217686,486,4,0.5036102602443346,0
2025-08-31 01:09:27,55.44.21.104,1,2,1,6.869387046787162,988,3,0.4467197192719562,0
2025-09-23 16:46:23,151.39.111.216,1,2,1,12.34194335951236,842,1,0.29218661389481,0
2025-08-05 02:29:30,115.200.186.176,1,1,0,4.378384990018552,812,6,0.19625457525685586,0
2025-09-15 13:25:25,28.143.92.99,2,2,0,4.186468297779012,975,4,0.09788071190510454,0
2025-10-29 14:30:23,121.253.136.248,0,1,1,2.583362303724503,469,1,0.40065394120311965,0
2025-09-10 16:31:25,123.172.95.98,2,3,1,9.813919979989016,973,1,0.4242336139312043,0
2025-09-11 12:42:29,39.53.222.204,1,3,2,6.249988832969256,889,0,0.3761005433046722,0
2025-08-17 13:44:29,170.196.136.61,0,1,1,1.459675381641083,856,1,0.5364733391848748,0
2025-08-12 22:36:27,10.169.130.55,1,1,0,3.8999175808249658,489,0,0.0,0
2025-09-16 23:37:24,29.106.69.177,0,2,2,8.383159630256074,912,2,0.6017237916414204,1
2025-10-06 15:40:30,176.206.189.71,1,1,0,5.945895460432038,431,1,0.022773332218041273,0
2025-09-02 01:09:29,57.62.13.107,0,1,1,9.00762612414613,971,2,0.454135367035983,0
2025-08-13 21:12:25,18.117.126.176,0,1,1,4.369405693084533,395,0,0.4752159118151814,0
2025-08-04 00:22:22,79.153.80.89,2,2,0,5.2599290925794495,1224,6,0.19941502486661547,0
2025-08-28 09:31:26,184.235.55.111,0,1,1,9.242187907837064,1282,1,0.3814394947781832,0
2025-07-14 21:28:25,85.71.167.249,2,3,1,4.921963585540168,1129,3,0.32372567357574017,0
2025-07-30 02:42:30,30.169.248.80,0,2,2,6.6751201897404355,700,1,0.5404804460530508,0
2025-09-19 00:12:29,77.131.13.232,1,1,0,5.8779766175466746,697,1,0.13111042546970647,0
2025-09-07 15:51:26,178.105.50.147,1,6,5,0.6233341519329197,1041,11,0.5543006806542563,0
2025-08-02 01:15:29,117.73.114.163,0,1,1,3.7316503192295087,1102,0,0.40445076441952055,0
2025-08-02 05:01:29,10.186.202.100,1,1,0,2.1426592684784183,1155,0,0.19512313079514348,0
2025-08-03 18:56:26,11.183.168.7,0,3,3,4.101782907902045,974,5,0.626661052712788,1
2025-10-25 19:34:30,186.5.48.154,2,2,0,11.1221978437736,973,3,0.11790603780149463,0
2025-09-08 02:58:23,125.26.117.112,0,1,1,2.59631699640906,1091,2,0.47086960624397306,0
2025-10-25 20:13:23,102.247.73.176,1,1,0,5.894298736710283,613,1,0.06869097991846383,0
